City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Namatanai,PG,78.89,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
14,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
17,Butaritari,KI,81.36,broken clouds,3.0707,172.7902,Isles Sunset Lodge
18,Sorong,ID,80.51,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
28,Sinnamary,GF,79.86,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
29,Arraial Do Cabo,BR,78.76,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
31,Matara,LK,76.06,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
36,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
47,Cockburn Town,TC,82.11,clear sky,21.4612,-71.1419,Osprey Beach Hotel
54,Papara,BR,81.0,overcast clouds,-3.9839,-38.7273,CAMPOS MARANGUAPE
56,San Patricio,US,84.92,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
61,Kavieng,PG,82.89,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
68,Ixtapa,MX,83.43,clear sky,20.7,-105.2,hotel la terminal
70,Rock Sound,BS,81.19,overcast clouds,24.9,-76.2,Pink Corral Bay Property
71,Soyo,AO,77.45,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
77,Acarau,BR,80.08,overcast clouds,-2.8856,-40.12,castelo pizzaria
80,Lubao,PH,82.11,scattered clouds,14.9167,120.55,Hacienda Gracia
82,Larap,PH,78.85,scattered clouds,14.299,122.6504,Montemayor Cove
87,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
89,Banjar,ID,77.0,overcast clouds,-8.19,114.9675,The Hamsa Resort
90,Kapaa,US,80.92,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
91,Rio Branco,BR,86.61,broken clouds,-9.9747,-67.81,Hotel Guapindaia Bosque
92,Atuona,PF,77.34,few clouds,-9.8,-139.0333,Villa Enata
97,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
102,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
104,Dakar,SN,77.88,overcast clouds,14.6937,-17.4441,Novotel Dakar
106,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
110,Augusto Correa,BR,79.07,few clouds,-1.0217,-46.635,Fazenda Bacuri
115,Santa Marta,CO,89.65,scattered clouds,11.2408,-74.199,Hotel La Ballena Azul
116,Bambanglipuro,ID,75.9,overcast clouds,-7.95,110.2833,Puri Brata
119,Waingapu,ID,80.06,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
126,Doha,QA,82.29,clear sky,25.2867,51.5333,Mövenpick Doha
131,Cabo San Lucas,MX,84.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
137,General Roca,AR,75.61,scattered clouds,-39.0333,-67.5833,Hotel El Recreo
141,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
144,Sur,OM,76.55,clear sky,22.5667,59.5289,Sur Plaza Hotel
147,Hilo,US,79.11,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
156,Maldonado,UY,79.99,scattered clouds,-34.6667,-54.9167,La Cimarrona
160,Pilar,BR,78.73,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
161,Hithadhoo,MV,81.0,overcast clouds,-0.6,73.0833,Scoop Guest House
162,Eirunepe,BR,86.09,overcast clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
170,Martapura,ID,77.09,broken clouds,-3.4167,114.85,Montana Hotel Syariah
174,Pindiga,NG,76.05,overcast clouds,9.9833,10.9333,Accommodation Center
175,Porto Velho,BR,89.53,light rain,-8.7619,-63.9039,Ecos Hotel Conforto
176,Pitimbu,BR,81.19,few clouds,-7.4706,-34.8086,Reserva do Abiaí
182,Victoria,HK,76.32,clear sky,22.2855,114.1577,Mini Central
194,Vanimo,PG,77.54,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
200,Faanui,PF,77.41,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
204,Ambon,ID,78.24,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
207,Neuquen,AR,75.09,light rain,-38.9516,-68.0591,Hotel del Comahue
210,Yulara,AU,76.62,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
212,Mitsamiouli,KM,76.82,broken clouds,-11.3847,43.2844,Foyer ADM
213,Saint-Georges,GD,82.08,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
218,Cabcaben,PH,80.62,few clouds,14.454,120.5914,villa carmen beach resort
220,Sabang,ID,77.74,light rain,5.8933,95.3214,Hotel Citra
223,Anloga,GH,81.27,overcast clouds,5.7947,0.8973,Pin Drop Hotel
226,Belmonte,BR,76.64,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
229,Bonthe,SL,78.87,few clouds,7.5264,-12.505,Bonthe Holiday Village
231,Conde,BR,80.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
233,Diffa,NE,77.61,broken clouds,13.3154,12.6113,ProDAF/Diffa
236,Mayumba,GA,77.18,overcast clouds,-3.432,10.6554,LIKWALE LODGE
238,Tautira,PF,77.67,broken clouds,-17.7333,-149.15,Pension Oaoa
244,Isangel,VU,78.91,overcast clouds,-19.55,169.2667,Tanna Lodge
252,Altamira,BR,89.69,few clouds,-3.2033,-52.2064,Requinte Hotel
254,Denpasar,ID,78.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
256,Loandjili,CG,76.55,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
258,Caravelas,BR,76.12,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
260,Luwuk,ID,78.22,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
261,Port Antonio,JM,86.0,broken clouds,18.18,-76.4612,The Trident Hotel
268,Prado,BR,75.99,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
269,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
270,San,ML,82.99,clear sky,13.3034,-4.8956,Hôtel Teriya
273,Etchoropo,MX,80.42,overcast clouds,26.7667,-109.6667,Campo de Andrés cruz jusaino
275,Puerto El Triunfo,SV,88.72,broken clouds,13.2833,-88.55,Hotel Jardin
276,Itoman,JP,77.77,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
278,Harper,LR,77.52,overcast clouds,4.375,-7.7169,Screensaver
283,Lorengau,PG,81.59,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
284,Cordoba,AR,87.76,few clouds,-31.4135,-64.1811,Hotel Sussex
286,Bubaque,GW,83.48,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
289,Oriximina,BR,86.45,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
293,Sola,VU,75.87,very heavy rain,-13.8833,167.55,Leumerus Bungalows
294,Lakatoro,VU,80.47,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
295,Touros,BR,79.07,clear sky,-5.1989,-35.4608,INN NEW HORIZON
296,Pemangkat,ID,77.09,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
298,Candelaria,PH,76.35,broken clouds,13.9311,121.4233,Casa de Provincia
300,Panaba,MX,80.06,broken clouds,21.2833,-88.2667,Hotel Don Fernando
303,Bandarbeyla,SO,79.09,overcast clouds,9.4942,50.8122,JABIR HOTEL
305,Noumea,NC,78.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
306,Manama,BH,82.38,clear sky,26.2154,50.5832,Al Safir Hotel
313,Padang,ID,75.88,heavy intensity rain,-0.9492,100.3543,Mercure Padang
315,Dingle,PH,75.54,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
320,Paso De Patria,AR,89.65,broken clouds,-27.2454,-58.5454,"Posada Pasito's II, Paso de Patria Ñeembucú"
329,Fort Myers Beach,US,84.06,broken clouds,26.452,-81.9481,Lani Kai Island Resort
330,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
331,Khartoum,SD,79.02,scattered clouds,15.5518,32.5324,Hotel China
335,Ocos,GT,82.27,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
338,Honiara,SB,77.97,overcast clouds,-9.4333,159.95,Heritage Park Hotel
340,Hambantota,LK,77.77,overcast clouds,6.1241,81.1185,Bungalow 63
347,Meulaboh,ID,75.36,moderate rain,4.1363,96.1285,Kost Pria
348,Manzanillo,CU,82.18,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
351,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
359,Natal,BR,83.05,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
362,Nuevo Progreso,MX,87.55,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
364,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
367,Itarema,BR,79.7,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
369,San Cristobal,VE,75.38,light rain,7.7669,-72.225,Pirineos
370,Yarada,IN,79.12,haze,17.65,83.2667,Yarada Jungle Beach Resorts
372,Tiarei,PF,82.42,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
377,Kandrian,PG,77.74,moderate rain,-6.2167,149.55,Kandrian Station
379,Todos Santos,MX,81.3,clear sky,23.45,-110.2167,Hotel California Todos Santos
380,Tingo Maria,PE,78.96,moderate rain,-9.2895,-76.0088,Hospedaje Paraíso
383,Mindelo,CV,76.55,few clouds,16.8901,-24.9804,Hotel Gaudi
386,Media Luna,CU,79.99,overcast clouds,20.1419,-77.435,Casa particular Pedro y Tamara
387,Moron,AR,86.95,scattered clouds,-34.6534,-58.6198,Hotel Morón
391,Petatlan,MX,86.4,few clouds,17.5167,-101.2667,Hotel California Petatlán
394,Ankpa,NG,76.21,broken clouds,7.3706,7.6253,AA Suites
395,Amahai,ID,78.35,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
398,Riachao Do Jacuipe,BR,80.58,heavy intensity rain,-11.8069,-39.3856,Riachão Palace Hotel
404,Elizabeth City,US,77.02,broken clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
408,Quipot,PH,75.79,broken clouds,13.9317,121.3158,Gelo's Plant Nursery
412,Kieta,PG,80.02,light rain,-6.2167,155.6333,Uruna Bay Retreat
413,Doka,SD,75.54,broken clouds,13.5167,35.7667,منصور عثمان
417,Certegui,CO,87.78,overcast clouds,5.3707,-76.6044,Juosma yesisd
418,Acaponeta,MX,85.93,clear sky,22.4964,-105.3594,Hotel Casa Blanca
419,Mandera,KE,85.46,light rain,3.9366,41.867,Red Sea Resort & Suites Mandera County
424,Laredo,US,82.69,overcast clouds,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
427,Cururupu,BR,78.24,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
428,Labuhan,ID,79.25,heavy intensity rain,-6.8844,112.2051,DoubleFAG
435,Carmen,MX,81.88,clear sky,18.6333,-91.8333,Hotel Lossandes
437,Bouna,CI,78.84,overcast clouds,9.2667,-3.0,Hôtel lababa
438,Bo Rai,TH,81.68,overcast clouds,12.5728,102.5371,Baiboon Resort
441,The Valley,AI,82.81,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
448,Kismayo,SO,78.06,overcast clouds,-0.3582,42.5454,Agan-Hotel
452,Gainesville,US,79.79,few clouds,29.6516,-82.3248,Stayable Select
456,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
457,Vaitape,PF,77.32,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
458,Moundou,TD,78.39,few clouds,8.5667,16.0833,Planete Life
460,Marsh Harbour,BS,81.59,broken clouds,26.5412,-77.0636,Abaco Beach Resort
462,Sao Filipe,CV,77.74,overcast clouds,14.8961,-24.4956,Hotel Xaguate
475,Ugoofaaru,MV,80.76,overcast clouds,5.6667,73.0,Ungoofaaru Inn
478,Teseney,ER,82.4,clear sky,15.11,36.6575,Sabrin Hotel
481,Arlit,NE,77.58,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
482,Pedasi,PA,78.06,moderate rain,7.5333,-80.0333,Hotel Casa de Campo Pedasí
484,Bac Lieu,VN,78.51,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
486,Trincomalee,LK,76.66,broken clouds,8.5711,81.2335,Welcombe Hotel
490,Aloleng,PH,79.75,scattered clouds,16.1307,119.7824,Aloleng
496,Bucerias,MX,83.98,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
506,Boyuibe,BO,84.69,broken clouds,-20.4167,-63.2833,Residencial Eluzai
511,Etchojoa,MX,80.28,overcast clouds,26.9167,-109.6333,Cuadra RT
513,Puerto Leguizamo,CO,82.11,heavy intensity rain,-0.1934,-74.7819,la casona de juancho
515,Boyolangu,ID,75.76,overcast clouds,-8.1181,111.8935,Yos ega cv
518,Grand-Santi,GF,76.51,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
520,Mumford,GH,79.34,broken clouds,5.2618,-0.759,Peace Guest House
521,Carutapera,BR,78.51,scattered clouds,-1.195,-46.02,Lidera
524,Miri,MY,77.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
529,Bogande,BF,83.05,clear sky,12.9714,-0.1436,Auberge Wendkouni
539,Makakilo City,US,79.68,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
554,Atar,MR,78.57,broken clouds,20.5169,-13.0499,Oumou Elghoura
560,Santa Rosa,PH,80.58,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
563,Miramar,US,88.0,overcast clouds,25.9873,-80.2323,Stadium Hotel
568,Luganville,VU,78.73,moderate rain,-15.5333,167.1667,The Espiritu Hotel
570,La Mana,EC,87.26,light rain,-0.9333,-79.2167,Hotel Somagg
572,Nazare,BR,75.83,broken clouds,-13.035,-39.0144,Hotel Victória Réghia
573,Tefe,BR,84.31,broken clouds,-3.3542,-64.7114,Aracati Hotel
580,Tandil,AR,82.24,broken clouds,-37.3217,-59.1332,Hostal de la Sierra Tandil
581,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
583,Praya,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
584,Innisfail,AU,75.31,overcast clouds,-17.5333,146.0333,Moondarra Motel
591,Conceicao Do Araguaia,BR,82.62,moderate rain,-8.2578,-49.2647,Tarumã Tropical Hotel
592,Manado,ID,77.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
596,Kununurra,AU,78.78,few clouds,-15.7667,128.7333,Hotel Kununurra
597,Oistins,BB,84.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
601,Bangkalan,ID,76.95,light rain,-7.0455,112.7351,Kos Putri Arumdalu Bangkalan
608,Tres Lagoas,BR,82.72,broken clouds,-20.7511,-51.6783,Druds Express Hotel
611,Castanos,MX,82.35,few clouds,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
618,Phangnga,TH,77.04,overcast clouds,8.4509,98.5298,Sunimit Mansion
622,Mecca,SA,78.13,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
625,Takoradi,GH,78.21,broken clouds,4.8845,-1.7554,Raybow International Hotel
626,Petrolina,BR,89.65,light rain,-9.3986,-40.5008,JB Hotel
640,Formosa Do Rio Preto,BR,76.55,overcast clouds,-11.0483,-45.1931,Porto Center Hotel
645,Kloulklubed,PW,83.91,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
648,Tecoanapa,MX,83.19,scattered clouds,16.5167,-98.75,Hotel Manglares
649,Buchanan,LR,77.61,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
654,Campos,BR,80.65,scattered clouds,-21.75,-41.3,Palace Hotel - Campos dos Goytacazes
659,Kavaratti,IN,82.08,overcast clouds,10.5669,72.642,Green leaf
660,Fomboni,KM,77.76,clear sky,-12.28,43.7425,Auberge les abou
667,Vila Velha,BR,78.75,light rain,-20.3297,-40.2925,Hotel Vitória Palace
