City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cherskiy,RU,68.75,161.3,-28.19,100,56,1.77,broken clouds
1,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,88,75,11.5,broken clouds
2,Albany,US,42.6001,-73.9662,63.18,92,100,5.01,moderate rain
3,Bor,RU,56.3567,44.0669,44.53,91,100,13.91,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,74.66,88,100,12.35,light rain
5,Ushuaia,AR,-54.8,-68.3,51.46,54,20,21.85,few clouds
6,Harbour Breton,CA,47.4833,-55.7983,42.51,69,99,4.72,overcast clouds
7,Souillac,MU,-20.5167,57.5167,71.98,83,20,2.3,few clouds
8,Puerto Ayora,EC,-0.7393,-90.3518,76.96,83,65,14.0,broken clouds
9,Evensk,RU,61.95,159.2333,20.03,95,100,14.58,snow
10,Canon City,US,38.441,-105.2424,48.02,47,0,9.22,clear sky
11,Yellowknife,CA,62.456,-114.3525,23.56,80,100,23.02,light snow
12,Araouane,ML,18.9048,-3.5265,74.95,11,56,8.12,broken clouds
13,Nanchang,CN,28.6833,115.8833,71.74,64,7,2.37,clear sky
14,Mayumba,GA,-3.432,10.6554,77.09,87,100,6.24,overcast clouds
15,Gravelbourg,CA,49.8834,-106.5512,14.27,89,14,7.47,few clouds
16,Atuona,PF,-9.8,-139.0333,77.41,79,13,14.63,few clouds
17,Pevek,RU,69.7008,170.3133,-6.93,100,97,3.87,overcast clouds
18,Jamestown,US,42.097,-79.2353,62.24,71,100,3.44,heavy intensity rain
19,Busselton,AU,-33.65,115.3333,52.74,76,83,9.46,broken clouds
20,East London,ZA,-33.0153,27.9116,70.43,91,100,21.92,overcast clouds
21,Butaritari,KI,3.0707,172.7902,81.45,76,67,13.8,broken clouds
22,Port Alfred,ZA,-33.5906,26.891,70.18,89,88,4.0,light rain
23,Impfondo,CG,1.6381,18.0667,69.44,97,100,0.94,overcast clouds
24,Lang Son,VN,21.8333,106.7333,65.12,96,11,2.08,few clouds
25,Bluff,NZ,-46.6,168.3333,58.8,78,100,7.67,overcast clouds
26,Lere,NG,10.387,8.5726,71.24,35,55,4.0,broken clouds
27,Sao Filipe,CV,14.8961,-24.4956,77.63,72,78,6.17,broken clouds
28,Safranbolu,TR,41.2508,32.6942,43.29,93,32,1.72,scattered clouds
29,Galle,LK,6.0367,80.217,77.31,85,97,7.58,overcast clouds
30,Vung Tau,VN,10.346,107.0843,78.84,81,99,5.64,overcast clouds
31,Pierre,US,44.3683,-100.351,26.06,74,100,13.0,mist
32,Coolum Beach,AU,-26.5333,153.1,73.35,75,8,5.95,clear sky
33,Teya,RU,60.3778,92.6267,24.15,88,100,10.76,overcast clouds
34,New Norfolk,AU,-42.7826,147.0587,53.92,61,100,4.0,overcast clouds
35,Buenos Aires,AR,-34.6132,-58.3772,84.09,55,20,16.11,few clouds
36,Rawson,AR,-43.3002,-65.1023,59.34,70,100,14.5,light rain
37,Lahij,YE,13.1667,44.5833,71.13,76,7,5.01,clear sky
38,College,US,64.8569,-147.8028,24.91,85,75,4.61,broken clouds
39,Esperance,AU,-33.8667,121.9,49.84,73,97,22.01,light rain
40,Aklavik,CA,68.2191,-135.0107,6.22,93,52,3.04,broken clouds
41,Mao,ES,39.8885,4.2658,66.76,88,20,11.5,few clouds
42,Takoradi,GH,4.8845,-1.7554,78.13,84,64,6.38,broken clouds
43,Lufilufi,WS,-13.8745,-171.5986,85.78,79,56,11.65,light rain
44,Codrington,AU,-38.2667,141.9667,57.79,79,83,11.5,broken clouds
45,Hobart,AU,-42.8794,147.3294,54.27,74,98,1.01,overcast clouds
46,Itoman,JP,26.1247,127.6694,77.77,96,20,12.66,few clouds
47,Road Town,VG,18.4167,-64.6167,82.49,83,40,9.22,scattered clouds
48,Hofn,IS,64.2539,-15.2082,43.7,81,63,5.79,broken clouds
49,Ribeira Grande,PT,38.5167,-28.7,59.4,77,40,9.22,scattered clouds
50,Thompson,CA,55.7435,-97.8558,3.36,78,20,4.61,few clouds
51,Rehoboth,NA,-23.3167,17.0833,65.03,27,1,15.17,clear sky
52,Yalta,UA,44.5,34.1667,53.24,80,78,2.17,broken clouds
53,Awbari,LY,26.5921,12.7805,61.97,41,0,7.4,clear sky
54,Hilo,US,19.7297,-155.09,81.1,76,75,11.5,light rain
55,Corn Island,NI,12.1694,-83.0418,82.71,74,58,10.27,broken clouds
56,Zhezkazgan,KZ,47.8043,67.7144,28.72,85,67,9.69,broken clouds
57,Tuatapere,NZ,-46.1333,167.6833,58.05,76,100,4.41,light rain
58,Narsaq,GL,60.9167,-46.05,23.22,95,100,3.49,overcast clouds
59,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,63,40,12.66,scattered clouds
60,Cape Town,ZA,-33.9258,18.4232,63.09,79,0,9.22,clear sky
61,Dikson,RU,73.5069,80.5464,-3.26,99,73,5.88,broken clouds
62,Ust-Kuyga,RU,70.0167,135.6,-11.96,100,98,2.8,overcast clouds
63,Biryusinsk,RU,55.9634,97.8235,27.86,78,91,8.14,overcast clouds
64,Conakry,GN,9.538,-13.6773,82.47,74,20,2.3,few clouds
65,Mataura,NZ,-46.1927,168.8643,58.48,62,100,4.81,overcast clouds
66,Energetik,RU,51.7445,58.7934,35.08,91,100,18.37,overcast clouds
67,Hudson Bay,CA,52.85,-102.3842,14.72,89,100,4.74,overcast clouds
68,Korla,CN,41.7597,86.1469,34.2,56,10,1.88,clear sky
69,Sumbe,AO,-11.2061,13.8437,74.21,78,49,7.47,scattered clouds
70,Castro,BR,-24.7911,-50.0119,58.69,95,100,4.41,overcast clouds
71,Mehamn,NO,71.0357,27.8492,33.75,93,75,4.61,light rain
72,Punta Arenas,CL,-53.15,-70.9167,48.31,66,20,10.36,few clouds
73,Ostrovnoy,RU,68.0531,39.5131,37.42,97,100,15.57,overcast clouds
74,Saint-Philippe,RE,-21.3585,55.7679,72.99,83,55,8.57,broken clouds
75,Guerrero Negro,MX,27.9769,-114.0611,72.48,31,36,6.31,scattered clouds
76,Georgetown,MY,5.4112,100.3354,78.73,94,20,4.61,few clouds
77,Karlstad,SE,59.3793,13.5036,55.96,84,75,19.57,broken clouds
78,Smithers,CA,54.7804,-127.1743,26.92,74,75,3.44,broken clouds
79,Torbay,CA,47.6666,-52.7314,39.27,89,75,9.22,broken clouds
80,Arara,BR,-6.8283,-35.7583,73.31,76,14,12.86,few clouds
81,Kavali,IN,14.9167,79.9833,77.74,85,100,15.82,overcast clouds
82,Flinders,AU,-34.5833,150.8552,70.18,84,25,1.99,scattered clouds
83,Priiskovyy,RU,51.9333,116.6333,12.27,86,15,3.89,few clouds
84,Krasnorechenskiy,RU,44.6265,135.3532,40.84,96,100,4.5,overcast clouds
85,Ambulu,ID,-8.345,113.6058,75.34,89,100,1.81,overcast clouds
86,Port Hardy,CA,50.6996,-127.4199,42.98,81,75,10.36,broken clouds
87,Camapua,BR,-19.5314,-54.0439,71.8,79,78,5.1,broken clouds
88,Mirnyy,RU,62.5353,113.9611,13.55,93,100,11.07,light snow
89,Weyburn,CA,49.6668,-103.8511,11.55,84,100,7.23,overcast clouds
90,Aswan,EG,24.0934,32.907,72.7,35,0,11.5,clear sky
91,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,93,100,11.5,light snow
92,Udachnyy,RU,66.4167,112.4,1.4,97,100,6.98,overcast clouds
93,Necochea,AR,-38.5473,-58.7368,61.2,79,92,10.6,light rain
94,Hithadhoo,MV,-0.6,73.0833,80.94,79,100,14.7,overcast clouds
95,Manaure,CO,11.7751,-72.4445,82.2,79,87,9.64,overcast clouds
96,Northam,GB,51.0333,-4.2167,55.26,91,1,10.87,clear sky
97,Kavieng,PG,-2.5744,150.7967,83.64,75,99,6.22,overcast clouds
98,Mar Del Plata,AR,-38.0023,-57.5575,67.82,86,75,12.66,broken clouds
99,Pogar,RU,52.554,33.2591,44.98,86,100,10.56,overcast clouds
100,Bredasdorp,ZA,-34.5322,20.0403,62.64,98,62,1.83,broken clouds
101,Richards Bay,ZA,-28.783,32.0377,71.92,82,100,12.37,overcast clouds
102,Lapy,PL,52.9911,22.8842,48.27,94,98,8.32,overcast clouds
103,Lata,PT,40.1629,-8.3327,56.07,79,0,5.41,clear sky
104,Namatanai,PG,-3.6667,152.4333,79.57,80,100,4.0,overcast clouds
105,Hong Gai,VN,20.956,107.0946,73.31,92,64,4.83,broken clouds
106,Kapaa,US,22.0752,-159.319,82.38,64,75,21.85,broken clouds
107,Palana,RU,59.1167,159.9667,21.54,87,100,9.26,light snow
108,Lorengau,PG,-2.0226,147.2712,82.83,73,98,3.15,overcast clouds
109,Saskylakh,RU,71.9167,114.0833,-19.88,99,93,1.63,overcast clouds
110,Fortuna,US,40.5982,-124.1573,58.66,61,60,5.99,broken clouds
111,Hovd,MN,48.0056,91.6419,19.15,43,99,1.57,overcast clouds
112,Jiazi,CN,22.8779,116.067,73.09,86,99,10.07,overcast clouds
113,Chopinzinho,BR,-25.8558,-52.5233,63.39,92,78,3.31,broken clouds
114,Ucluelet,CA,48.9329,-125.5528,48.51,84,100,7.38,overcast clouds
115,Emba,KZ,48.8264,58.1442,32.14,90,51,8.01,broken clouds
116,Trinidad,BO,-14.8333,-64.9,93.18,49,40,11.5,scattered clouds
117,Buala,SB,-8.145,159.5921,77.79,91,100,6.93,moderate rain
118,Bogande,BF,12.9714,-0.1436,82.27,26,1,5.26,clear sky
119,Ararangua,BR,-28.9347,-49.4858,65.55,96,100,2.82,overcast clouds
120,Longyearbyen,SJ,78.2186,15.6401,21.04,79,0,10.36,clear sky
121,Kuito,AO,-12.3833,16.9333,61.21,84,93,2.04,overcast clouds
122,Asmar,AF,35.0333,71.3581,48.52,37,0,10.8,clear sky
123,Saint George,US,37.1041,-113.5841,53.44,24,0,3.0,clear sky
124,Volchanets,RU,42.9131,132.7469,49.23,98,100,2.13,overcast clouds
125,Half Moon Bay,US,37.4636,-122.4286,62.91,57,0,3.44,clear sky
126,Te Anau,NZ,-45.4167,167.7167,60.06,66,100,1.34,overcast clouds
127,Severo-Kurilsk,RU,50.6789,156.125,34.63,62,95,28.23,overcast clouds
128,Payo,ID,-3.7508,103.6372,72.25,94,100,1.48,overcast clouds
129,Una,IN,20.8167,71.0333,76.01,45,50,9.01,scattered clouds
130,Isangel,VU,-19.55,169.2667,82.51,89,100,3.44,overcast clouds
131,Nikel,RU,69.4128,30.222,32.18,99,100,3.31,snow
132,Carnarvon,AU,-24.8667,113.6333,62.37,61,0,20.78,clear sky
133,Bengkulu,ID,-3.8004,102.2655,74.19,91,98,4.03,overcast clouds
134,Pundaguitan,PH,6.3711,126.1689,81.79,77,70,7.74,broken clouds
135,Iqaluit,CA,63.7506,-68.5145,4.73,84,75,4.0,light snow
136,Marzuq,YE,14.4,46.4667,63.01,73,2,3.18,clear sky
137,Vaini,TO,-21.2,-175.2,82.56,83,20,5.75,few clouds
138,Chapais,CA,49.7834,-74.8492,31.78,94,100,10.76,light snow
139,Mbaiki,CF,3.8678,17.9892,68.77,99,71,2.51,broken clouds
140,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,90.7,31,26,9.17,scattered clouds
141,Geraldton,AU,-28.7667,114.6,48.61,81,2,9.22,clear sky
142,Norman Wells,CA,65.282,-126.8329,14.04,85,75,5.75,broken clouds
143,Aloleng,PH,16.1307,119.7824,79.63,80,26,8.23,scattered clouds
144,Katsuura,JP,35.1333,140.3,63.75,80,22,4.61,few clouds
145,Imbituba,BR,-28.24,-48.6703,67.17,91,100,5.84,overcast clouds
146,Avarua,CK,-21.2078,-159.775,77.05,69,20,11.5,few clouds
147,Henties Bay,NA,-22.116,14.2845,59.31,87,0,6.33,clear sky
148,Fallon,US,39.4735,-118.7774,42.67,45,0,9.22,clear sky
149,Verkhnyaya Maksakovka,RU,61.635,50.9674,41.18,100,100,4.47,fog
150,Mirabad,AF,30.4362,61.8383,61.45,40,43,8.9,scattered clouds
151,Eureka,US,40.8021,-124.1637,58.93,70,65,1.99,broken clouds
152,Tiznit,MA,29.5833,-9.5,68.77,30,14,5.5,few clouds
153,Pacific Grove,US,36.6177,-121.9166,62.55,63,0,7.0,clear sky
154,Nanortalik,GL,60.1432,-45.2371,23.56,89,100,7.74,overcast clouds
155,Huarmey,PE,-10.0681,-78.1522,67.62,76,42,10.83,scattered clouds
156,Chaah,MY,2.249,103.048,73.31,98,100,1.36,overcast clouds
157,Gushikawa,JP,26.3544,127.8686,77.0,96,75,12.66,broken clouds
158,Klaksvik,FO,62.2266,-6.589,50.92,84,38,25.14,scattered clouds
159,Hobyo,SO,5.3505,48.5268,80.65,76,19,11.5,few clouds
160,Hermanus,ZA,-34.4187,19.2345,62.8,87,0,4.41,clear sky
161,Pozo Colorado,PY,-23.4923,-58.7972,90.23,42,59,10.71,broken clouds
162,Westport,US,41.1415,-73.3579,67.75,88,100,10.0,light rain
163,Berbera,SO,10.4396,45.0143,80.33,72,7,9.08,clear sky
164,Cayenne,GF,4.9333,-52.3333,80.64,83,0,2.3,clear sky
165,Bambous Virieux,MU,-20.3428,57.7575,71.85,83,20,2.3,few clouds
166,Davila,PH,18.4726,120.5763,75.18,80,2,5.73,clear sky
167,Killybegs,IE,54.6333,-8.45,50.88,92,97,6.35,overcast clouds
168,Itarema,BR,-2.9248,-39.9167,79.41,75,79,16.98,broken clouds
169,Salalah,OM,17.0151,54.0924,78.89,65,0,4.61,clear sky
170,Tomatlan,MX,19.9333,-105.25,84.47,57,7,8.39,clear sky
171,Vieques,PR,18.425,-65.8329,82.49,84,32,10.51,scattered clouds
172,Abu Samrah,SY,35.3029,37.1841,59.81,64,57,5.84,broken clouds
173,Aksu,CN,41.1231,80.2644,37.29,40,17,5.32,few clouds
174,Tiksi,RU,71.6872,128.8694,-13.85,99,94,6.85,overcast clouds
175,Luderitz,NA,-26.6481,15.1594,57.67,86,0,6.24,clear sky
176,Taoudenni,ML,22.6783,-3.9836,78.76,14,98,10.85,overcast clouds
177,Kahului,US,20.8947,-156.47,84.22,59,40,19.57,scattered clouds
178,Lompoc,US,34.6391,-120.4579,71.78,52,0,11.5,clear sky
179,Qaanaaq,GL,77.484,-69.3632,-3.41,62,0,7.14,clear sky
180,Kualakapuas,ID,-3.0091,114.3876,74.03,97,100,1.57,overcast clouds
181,Chlorakas,CY,34.8042,32.4083,59.88,67,0,3.44,clear sky
182,Giovinazzo,IT,41.1864,16.6674,59.83,80,0,8.05,clear sky
183,Chuy,UY,-33.6971,-53.4616,64.78,81,4,12.06,clear sky
184,Tungor,RU,53.3808,142.9564,22.64,88,100,5.59,overcast clouds
185,Rio Gallegos,AR,-51.6226,-69.2181,59.05,25,40,12.66,scattered clouds
186,Morondava,MG,-20.2833,44.2833,78.71,65,96,1.72,overcast clouds
187,San Policarpo,PH,12.1791,125.5072,81.57,82,84,8.97,broken clouds
188,Khatanga,RU,71.9667,102.5,-27.65,99,74,8.59,broken clouds
189,Beringovskiy,RU,63.05,179.3167,10.78,86,31,10.8,scattered clouds
190,Devonport,AU,-41.1667,146.35,57.09,88,100,7.92,overcast clouds
191,Tecate,MX,32.5667,-116.6333,69.51,22,98,7.85,overcast clouds
192,Riyadh,SA,24.6877,46.7219,77.14,27,33,7.96,scattered clouds
193,Asau,RO,46.4333,26.4,45.52,81,17,2.59,few clouds
194,Chokurdakh,RU,70.6333,147.9167,-24.84,98,95,6.6,overcast clouds
195,Reporoa,NZ,-38.4333,176.35,61.38,99,100,2.93,overcast clouds
196,Touros,BR,-5.1989,-35.4608,78.96,73,8,13.65,clear sky
197,Sept-Iles,CA,50.2001,-66.3821,33.06,84,100,5.75,snow
198,Upernavik,GL,72.7868,-56.1549,10.31,86,100,5.5,overcast clouds
199,Lewistown,US,40.5992,-77.5714,64.94,97,100,0.0,light intensity drizzle
200,Manaus,BR,-3.1019,-60.025,91.9,58,75,5.75,broken clouds
201,Ponta Do Sol,PT,32.6667,-17.1,68.72,80,56,2.01,broken clouds
202,Veraval,IN,20.9,70.3667,77.61,50,47,11.03,scattered clouds
203,Sitka,US,57.0531,-135.33,42.69,81,75,6.91,light rain
204,Chisec,GT,15.8167,-90.2833,93.43,66,36,2.33,scattered clouds
205,Nikolskoye,RU,59.7035,30.7861,51.69,90,100,10.98,overcast clouds
206,Soto La Marina,MX,23.7667,-98.2167,86.77,50,6,15.73,clear sky
207,Altayskoye,RU,51.9533,85.3325,25.86,83,100,4.34,overcast clouds
208,Bathsheba,BB,13.2167,-59.5167,83.01,74,20,17.27,few clouds
209,Ahuimanu,US,21.4447,-157.8378,80.31,56,40,13.8,scattered clouds
210,Ligayan,PH,4.6533,119.4706,82.94,72,90,2.57,overcast clouds
211,Acapulco,MX,16.8634,-99.8901,84.02,74,0,6.91,clear sky
212,Hualmay,PE,-11.0964,-77.6139,67.71,73,28,10.92,scattered clouds
213,Constitucion,CL,-35.3333,-72.4167,55.85,93,100,14.14,light rain
214,Tecoanapa,MX,16.5167,-98.75,83.95,70,24,8.59,few clouds
215,Greenwood,US,34.1668,-82.1165,67.01,59,100,11.5,mist
216,Ancud,CL,-41.8697,-73.8203,53.02,96,100,3.67,light rain
217,Panaba,MX,21.2833,-88.2667,78.85,69,77,10.07,broken clouds
218,Mount Gambier,AU,-37.8333,140.7667,56.73,76,86,9.93,light rain
219,Makakilo City,US,21.3469,-158.0858,79.12,51,100,14.97,overcast clouds
220,Qaqortoq,GL,60.7167,-46.0333,21.31,93,100,3.11,overcast clouds
221,Zhanaozen,KZ,43.3,52.8,39.36,56,100,10.36,overcast clouds
222,Kodiak,US,57.79,-152.4072,42.31,93,40,3.44,scattered clouds
223,Visby,SE,57.6409,18.296,55.62,82,49,19.57,scattered clouds
224,Omsukchan,RU,62.5333,155.8,-7.69,99,100,3.31,light snow
225,Kruisfontein,ZA,-34.0033,24.7314,62.89,72,91,4.97,overcast clouds
226,Stratford,US,41.1845,-73.1332,67.95,93,100,10.36,light rain
227,Ternate,ID,0.8,127.4,81.72,80,95,7.14,overcast clouds
228,Mahebourg,MU,-20.4081,57.7,71.89,83,20,2.3,few clouds
229,Barrow,US,71.2906,-156.7887,21.22,93,100,18.41,mist
230,La Tuque,CA,47.4334,-72.7824,48.45,87,100,0.0,overcast clouds
